category,ram_mean,ram_max,ram_std,browser_ram_mean,browser_ram_max,browser_ram_std,event_count
ai_assistant,7372.23,10706.51,1759.27,939.13,1464.61,246.94,61
authentication,6257.31,6257.31,,965.54,965.54,,1
cloud_services,10430.2,10609.38,124.77,1340.42,1500.34,62.76,11
development,6730.14,10552.63,1130.0,872.85,1468.88,181.64,92
entertainment,6119.29,6401.76,157.91,820.74,889.89,38.66,5
learning,7451.25,10868.0,1731.73,929.46,1514.54,250.6,564
media,9088.31,10535.31,1843.36,1133.58,1372.95,209.65,16
productivity,8108.72,10620.69,2046.51,1071.79,1450.92,292.4,34
search,10178.37,10933.78,1022.13,1258.9,1494.97,161.4,66
